,count,mean,std,min,25%,50%,75%,max,null_%
pm25,32509.0,53.51872253417969,25.3621883392334,0.4000000059604645,36.70000076293945,47.099998474121094,64.30000305175781,168.1999969482422,0.0
pm10,0.0,,,,,,,,100.0
no2,0.0,,,,,,,,100.0
o3,0.0,,,,,,,,100.0
so2,0.0,,,,,,,,100.0
co,0.0,,,,,,,,100.0
temperature,32509.0,28.134605801470364,3.1676495359987835,18.0,26.2,27.9,30.3,37.5,0.0
humidity,32509.0,77.93186502199391,15.468278149905407,21.0,69.0,82.0,90.0,100.0,0.0
wind_speed,32509.0,9.07241686917469,4.066052835258959,0.0,6.3,8.7,11.6,30.6,0.0
wind_direction,32509.0,164.10132578670522,52.82051238519705,1.0,132.0,164.0,192.0,360.0,0.0
pressure,32509.0,1003.843901688763,3.8116260029930036,992.7,1001.0,1003.4,1006.7,1015.9,0.0
population_catchment,32509.0,1090806.218739426,528013.6116408886,110344.0,758489.0,1113878.0,1607335.0,1790669.0,0.0
