station_id,station_name,latitude,longitude,mean_pm25,mean_exposure_score,population_catchment,n_readings
6251395,"Mirpur, Shewrapara | Dhaka | Smart Air Bangladesh",23.787855,90.3728743,72.34493118181621,77729130.34009169,1074424,730
6236590,"Hazaribagh, Jigatola | Dhaka | Smart Air Bangladesh",23.7404373694,90.3735836776,51.54283003629941,61208244.61036639,1187522,4240
6240773,"North Badda, Abdullahbag | Dhaka l Smart Air Bangladesh",23.7893016042,90.4318104177,67.37162684403275,57146635.03791389,848230,3729
6240023,"Dhanmondi, Road No. 7 | Dhaka l Smart Air Bangladesh",23.744966,90.383485,49.78194514865745,49264262.70105658,989601,3650
6242079,Moghbazar; Bhodro Goli | Dhaka | Smart Air Bangladesh,23.7515250988,90.4041834681,49.7382462744316,46408419.901097275,933053,4254
6157905,"RAJUK Uttara Apartment Project, Sector - 18, Uttara",23.856237,90.356837,49.92997901395684,28234704.112686396,565486,4323
6234363,Gulshan Society Lake Park | Dhaka | Smart Air Bangladesh,23.801435,90.410545,51.315361708476004,26116337.5571884,508938,4062
6242232,"Baridhara, Park Road | Dhaka l Smart Air Bangladesh",23.8015,90.42206,56.04309483317778,25353279.628486466,452389,4019
6271076,Baridhara Lakeside,23.8058061304,90.4158053368,49.938552812860486,22591651.968457133,452389,3490
6322839,Sensor No -04,23.823305,90.440429,20.46666685740153,13309657.657369932,650309,3
6313504,Sensor No -01,23.780512,90.423122,12.65999994277954,8232911.902789021,650309,5
6322838,Sensor No -03,23.785969,90.427902,7.387500047683716,4804157.76850915,650309,4
