station_name,annual_excess_deaths_short_term_pm10
Baridhara Lakeside,0.0
"Baridhara, Park Road | Dhaka l Smart Air Bangladesh",0.0
"Dhanmondi, Road No. 7 | Dhaka l Smart Air Bangladesh",0.0
Gulshan Society Lake Park | Dhaka | Smart Air Bangladesh,0.0
"Hazaribagh, Jigatola | Dhaka | Smart Air Bangladesh",0.0
"Mirpur, Shewrapara | Dhaka | Smart Air Bangladesh",0.0
Moghbazar; Bhodro Goli | Dhaka | Smart Air Bangladesh,0.0
"North Badda, Abdullahbag | Dhaka l Smart Air Bangladesh",0.0
"RAJUK Uttara Apartment Project, Sector - 18, Uttara",0.0
Sensor No -01,0.0
Sensor No -03,0.0
Sensor No -04,0.0
