name,season,latitude,longitude,mean_pm25,mean_pm10,catchment_pop,n,delta_c,ar_pct,health_impact_score,rank
"Mirpur, Shewrapara | Dhaka | Smart Air Bangladesh",Pre-Monsoon,23.787855,90.3728743,83.6774561758905,,1074424,519,78.6774561758905,49.167,0.7732,1
"Hazaribagh, Jigatola | Dhaka | Smart Air Bangladesh",Pre-Monsoon,23.7404373694,90.3735836776,63.684814546064096,,1187522,2160,58.684814546064096,39.631,0.6504,2
"North Badda, Abdullahbag | Dhaka l Smart Air Bangladesh",Pre-Monsoon,23.7893016042,90.4318104177,83.33619378730513,,848230,2108,78.33619378730513,49.018,0.6079,3
"Dhanmondi, Road No. 7 | Dhaka l Smart Air Bangladesh",Pre-Monsoon,23.744966,90.383485,60.011601307395665,,989601,2017,55.011601307395665,37.693,0.5107,4
Moghbazar; Bhodro Goli | Dhaka | Smart Air Bangladesh,Pre-Monsoon,23.7515250988,90.4041834681,60.67201970270927,,933053,2114,55.67201970270927,38.046,0.4868,5
"Mirpur, Shewrapara | Dhaka | Smart Air Bangladesh",Monsoon,23.787855,90.3728743,44.4701422153491,,1074424,211,39.4701422153491,28.783,0.4109,6
"Hazaribagh, Jigatola | Dhaka | Smart Air Bangladesh",Monsoon,23.7404373694,90.3735836776,38.93384612231301,,1187522,2080,33.93384612231301,25.311,0.3976,7
"North Badda, Abdullahbag | Dhaka l Smart Air Bangladesh",Monsoon,23.7893016042,90.4318104177,46.61079580367604,,848230,1621,41.61079580367604,30.082,0.34,8
"Dhanmondi, Road No. 7 | Dhaka l Smart Air Bangladesh",Monsoon,23.744966,90.383485,37.14678503097527,,989601,1633,32.14678503097527,24.154,0.3161,9
Moghbazar; Bhodro Goli | Dhaka | Smart Air Bangladesh,Monsoon,23.7515250988,90.4041834681,38.93731308406758,,933053,2140,33.93731308406758,25.313,0.3124,10
"RAJUK Uttara Apartment Project, Sector - 18, Uttara",Pre-Monsoon,23.856237,90.356837,62.526632575892265,,565486,2174,57.526632575892265,39.026,0.3041,11
Gulshan Society Lake Park | Dhaka | Smart Air Bangladesh,Pre-Monsoon,23.801435,90.410545,63.27908925501722,,508938,2054,58.27908925501722,39.42,0.277,12
"Baridhara, Park Road | Dhaka l Smart Air Bangladesh",Pre-Monsoon,23.8015,90.42206,67.30586334020512,,452389,1944,62.30586334020512,41.482,0.2619,13
Baridhara Lakeside,Pre-Monsoon,23.8058061304,90.4158053368,59.2746546959262,,452389,1667,54.2746546959262,37.297,0.2306,14
"RAJUK Uttara Apartment Project, Sector - 18, Uttara",Monsoon,23.856237,90.356837,37.186784577638726,,565486,2149,32.186784577638726,24.18,0.1808,15
"Baridhara, Park Road | Dhaka l Smart Air Bangladesh",Monsoon,23.8015,90.42206,45.49137339816036,,452389,2075,40.49137339816036,29.406,0.177,16
Gulshan Society Lake Park | Dhaka | Smart Air Bangladesh,Monsoon,23.801435,90.410545,39.077564706187324,,508938,2008,34.077564706187324,25.403,0.171,17
Baridhara Lakeside,Monsoon,23.8058061304,90.4158053368,41.40137133229518,,452389,1823,36.40137133229518,26.879,0.1611,18
Sensor No -04,Pre-Monsoon,23.823305,90.440429,20.46666685740153,,650309,3,15.466666857401531,12.455,0.1145,19
Sensor No -01,Pre-Monsoon,23.780512,90.423122,12.65999994277954,,650309,5,7.659999942779541,6.375,0.0708,20
Sensor No -03,Pre-Monsoon,23.785969,90.427902,7.387500047683716,,650309,4,2.387500047683716,2.032,0.0413,21
